MTS793|MPT|NLD|1|2|,|-|:|31|1|1|A

Data Acquisition						Time:	104,29639	s	11-3-2021 09:52:22
Time	311.51 Frame Force	311.51 Frame Displacement	Aux Input 8	Aux Input 9	Aux Input 7	Laser 50mm	Laser 50mm2	Laser 25mm
s	kN	mm	V	V	V	mm	mm	mm
4,8857422	-0,31498888	-0,79552686	0,12286752	0,12723166	1,0249031	0,76945782	0,79837865	3,202822
4,9829102	-0,21701078	-0,79934603	0,12320322	0,12756737	1,0262458	0,77156013	0,80048525	3,2070181
5,0800781	-0,45972669	-0,80265695	0,12253181	0,12689596	1,0245674	0,76735544	0,79627216	3,2017729
5,1772461	-0,30630279	-0,80593246	0,12488174	0,12656026	1,0255744	0,78207183	0,79416561	3,2049201
5,2744141	-0,17732725	-0,80784577	0,12555315	0,12991729	1,0252388	0,78627658	0,81523103	3,203871
5,371582	-0,39065921	-0,81184578	0,12588884	0,12991729	1,0252388	0,78837883	0,81523103	3,203871
5,46875	-0,24966477	-0,81452101	0,12521744	0,12924588	1,0265815	0,7841742	0,81101787	3,2080672
5,565918	-0,35349455	-0,81916422	0,12555315	0,12991729	1,0249031	0,78627658	0,81523103	3,202822
5,6630859	-0,25695249	-0,82101309	0,12555315	0,12958159	1,0262458	0,78627658	0,81312448	3,2070181
5,7602539	-0,19067641	-0,82536906	0,12857448	0,12958159	1,0245674	0,80519766	0,81312448	3,2017729
5,8574219	-0,40891168	-0,82786697	0,12790307	0,13226721	1,0252388	0,80099297	0,82997674	3,203871
5,9545898	-0,25074762	-0,83097398	0,12790307	0,13193151	1,0245674	0,80099297	0,82787025	3,2017729
6,0517578	-0,2985346	-0,8341589	0,12823877	0,13226721	1,0255744	0,80309528	0,82997674	3,2049201
6,1489258	-0,32392418	-0,83743137	0,12823877	0,13293862	1,0262458	0,80309528	0,83418989	3,2070181
6,2460938	-0,33210111	-0,84181404	0,12891018	0,13361003	1,0255744	0,80730003	0,83840293	3,2049201
6,3432617	-0,17014889	-0,84447783	0,13159581	0,13226721	1,0259101	0,82411873	0,82997674	3,2059691
6,4404297	-0,46826756	-0,84782785	0,13159581	0,13595995	1,0249031	0,82411873	0,8531487	3,202822
6,5375977	-0,29338568	-0,85200542	0,13159581	0,13595995	1,0225531	0,82411873	0,8531487	3,1954784
6,6347656	-0,26888534	-0,85519546	0,13226721	0,13595995	1,0228888	0,82832336	0,8531487	3,1965275
6,7319336	-0,33656877	-0,85703665	0,13159581	0,13562424	1,0218817	0,82411873	0,85104215	3,1933804
6,8291016	-0,34468654	-0,86049354	0,13461713	0,13595995	1,0235603	0,84303981	0,8531487	3,1986258
6,9262695	-0,43136823	-0,8642922	0,13495284	0,13562424	1,0218817	0,84514213	0,85104215	3,1933804
